source,target,weight
1,37,44.51306429441747
1,39,40.33741673059795
1,101,47.46694199603957
2,15,17.163030569388276
2,20,0.4845388405854881
2,55,20.116648709966857
2,97,2.421849355817536
3,33,59.04692402059314
3,68,126.87393097214127
3,81,20.19892019307585
4,35,14.48501292359356
4,68,33.472206752420675
4,69,25.394101685902395
4,109,19.025250127982286
5,42,33.90086955411224
5,60,21.78464463671352
5,77,10.138526926803506
6,27,41.58301445578136
6,28,15.611640725302287
6,128,35.3086077165091
7,72,18.05862678737308
7,90,14.178822634470748
7,100,40.7895120253581
8,22,49.59357316738726
8,61,42.81738274296529
8,85,39.397586975545615
8,104,80.13375056992986
9,25,19.36466130016026
9,102,23.485199023989605
9,103,37.133335228524274
9,110,24.459067846657415
9,115,69.98808665397577
10,25,13.382643228160864
10,50,22.16332972618814
10,95,16.398511647786314
10,110,10.01868502861068
10,113,19.194020146648455
11,38,67.07227031259858
11,120,68.19533779254175
11,127,74.49873909200288
12,21,82.4205771179471
12,47,88.76040803626698
12,54,50.477632184221434
12,67,41.630739384243874
13,34,56.28565767025243
13,38,55.74435918807043
13,112,57.28551833625886
14,18,67.06811510518567
14,56,103.4878548698145
14,93,84.56823027673825
15,20,17.603455268200182
15,48,32.86216267141174
15,55,10.215915101145852
15,58,18.57903810975423
15,97,17.371685396693994
16,73,34.69001589287576
16,84,38.364467047297296
16,124,18.718839097760196
17,37,41.501332193027444
17,39,27.651860943132316
17,75,62.106866772671516
17,120,41.91325448440241
18,56,38.298625781967964
18,93,18.786826180792747
19,31,34.588587012578174
19,32,40.08935063459776
19,43,54.08379039786901
20,97,2.252791762189986
21,67,41.783134122616964
21,108,58.27081411708519
21,114,21.850167518552055
22,61,31.055559845116097
22,66,28.729596915518844
22,85,10.579837460925027
22,101,45.160832732020246
22,123,19.08811051965443
23,35,22.285869432497783
23,64,13.981949384358261
23,69,11.84623570179575
23,96,19.842744729343192
24,52,25.255241357506485
24,59,17.414234024360407
24,89,14.461229709700893
24,121,35.04873777216337
25,102,15.65714879653061
25,110,8.83398555777149
26,63,18.19678088899812
26,117,0.05898387604337972
26,128,19.065674893166864
27,28,26.15667870286721
27,107,23.342886818562082
27,111,20.66787986151692
28,107,36.872698829371814
28,111,43.424547545837854
29,46,54.995499383579826
29,99,21.546022267523607
29,119,39.150860817064405
30,32,54.20504726399602
30,36,37.758626463301226
30,48,35.590959636969004
30,56,53.81444628219071
30,58,36.41911063919981
31,34,54.81303859111439
31,43,23.279908900937876
31,44,43.455721100595596
32,91,49.18960757553673
32,93,70.67945498725778
33,80,157.33430794510357
33,81,65.85744072325686
34,43,42.24458975003212
35,68,47.95200036418798
35,69,10.98979544219274
35,109,32.774702393136764
36,40,30.61570104242657
36,48,35.5397577339882
37,39,14.924643025976996
37,66,38.54744203716812
37,75,61.93790765067593
37,116,29.814753377276855
38,127,59.27553676666212
40,57,46.944211405053586
40,65,62.88298643280335
40,106,52.05208087756158
41,70,48.7120757662118
41,80,20.30723005300849
41,98,42.737058034896044
42,64,21.104767330444375
42,77,23.968202951840297
42,96,14.614942978140373
43,44,53.335314214663576
