source,target,weight
1,465,51.04124646366853
1,1970,56.63005817528836
1,2461,30.938273898454938
2,46,17.259246995726137
2,105,22.382838056961198
2,2582,14.337110249782526
2,2600,22.416348242203316
3,106,12.62258706859468
3,824,30.581062787153623
3,2543,26.86246823408547
3,2651,25.697772257029133
4,126,19.02785968537114
4,128,15.931515342945536
4,163,28.617435113514603
5,167,36.96719512479393
5,170,13.899762718364766
5,935,1.6301575465415488
5,2616,18.44941903951941
6,20,19.218645734494956
6,150,27.252084135826067
6,182,19.951551139102662
6,811,13.239767091677331
7,166,19.420776711180004
7,826,25.78861349563634
7,2259,27.84150780700259
8,175,29.19195754985553
8,747,24.16413111432552
8,2640,19.04828551337846
9,516,36.45380249200239
9,518,10.88229824994619
9,1100,49.77215602303576
9,1381,79.72801201238954
9,2412,64.34468481513139
10,1440,45.628003552300356
10,1942,50.29987268355608
10,2035,49.57870385544686
11,1065,31.846474627466435
11,1990,52.308317235096474
11,2706,56.93151580651976
12,507,27.620334821619423
12,848,25.15621036727653
12,973,81.5571430030128
12,2020,91.44170973133681
12,2724,30.20865845158893
13,859,108.59608219170828
13,2610,19.116075347888316
13,2714,119.19012895385053
14,118,24.583137608800634
14,2022,18.56648094001691
14,2645,7.737796316695014
15,723,25.57483312824904
15,2686,20.41061077622775
15,2695,16.421903252289663
16,264,52.535950869884154
16,1246,38.97851228917872
16,2447,70.39499307642431
16,2605,42.98194139974924
17,109,43.47724355042239
17,190,39.84917847319983
17,751,7.092434874670091
17,852,54.14717588125649
18,111,38.172879671998345
18,161,42.30627326095324
18,214,38.23802354581138
18,763,40.47195415389365
19,655,44.53984769224078
19,1031,89.87547700895955
19,1091,56.661741431282444
19,1505,67.67569586992857
20,150,43.777186207247716
20,182,0.7982498468389502
20,754,19.053790073985574
20,811,10.897726630215978
21,581,40.41699164966758
21,814,30.37800101657403
21,2718,31.720766004881753
22,178,14.4346407131503
22,715,19.548564529017522
22,786,18.06955831868304
22,2641,18.004812533270652
23,390,51.34587439448533
23,1802,18.061079643412832
23,2454,38.91266878158371
23,2492,18.061079643412832
24,33,50.39227484579541
24,113,52.42147980098026
24,159,40.52087624874812
24,211,0.44710115890565016
25,108,138.6413568438334
25,153,88.0123236986252
25,757,139.61777229972506
26,1105,31.217042971694482
26,1724,49.451584524496866
26,2183,58.52832809244989
27,71,36.73912730141681
27,140,15.17973084009208
27,204,28.28486864399379
27,745,48.10955958648387
27,895,32.47974067875212
27,2704,36.01139149728755
28,721,20.33192151077014
28,874,22.448841616049727
28,2538,18.65978392131846
28,2600,19.91430091718389
29,52,32.40248304099844
29,867,17.78914533234026
29,2583,31.074678455175267
29,2727,31.074678455175267
30,1360,54.00582071043494
30,1367,46.96755110643994
30,2436,70.54744260410507
31,875,20.256503608912087
31,887,18.807032409631873
31,2607,19.579917175018238
31,2646,20.22710709280579
31,2650,15.154823829588533
32,353,55.306949939013286
32,1218,30.404282036495907
32,2255,70.93723667423028
32,2530,56.11356098030135
33,157,44.518714112027816
33,158,49.700219417129254
33,211,50.31451176111266
33,215,57.97779902077768
34,800,11.087884456535877
34,823,25.38405056820937
34,2641,9.643933111456308
34,2702,7.053951971289859
35,1384,55.32960749920707
35,1676,57.19957018892853
35,2103,31.179353102622578
36,95,14.542844025439722
36,129,22.6320626862965
36,162,16.24199807922555
36,2534,42.42038670697676
37,112,0.3669432579265117
37,165,4.447797065782073
37,742,9.15847292147097
38,55,17.783574672596824
38,132,9.618988884365532
38,2252,29.778974624691557
38,2567,17.252397068145903
38,2707,22.63519950421448
39,72,30.51590203342085
39,116,35.556382770822715
39,119,26.85596535846986
39,130,16.698048697809988
39,189,42.28342651437437
39,890,26.551741974294615
39,2700,8.589541474167694
40,135,29.04699428368842
40,200,4.836846311334988
40,789,29.85854307983691
40,800,22.712821489896292
40,842,23.562726873947838
41,740,13.611743049308235
41,803,1.5678385805031914
41,2602,22.781107196344383
41,2639,13.365939399914001
42,137,15.586821785777895
42,138,11.800594312829858
42,795,11.42682193191836
42,2599,15.12383717839988
43,569,91.97639580324326
43,571,74.64799486980618
43,2135,68.81796721117865
43,2425,52.71102527323665
43,2504,62.14146784570591
44,138,23.469003634142034
44,786,22.54419977792572
44,1450,27.101686566297758
44,2698,21.014116778590935
45,469,35.717494647100075
45,1470,48.7578434296027
45,1679,47.01373511444309
45,1970,40.21692796146454
46,720,25.006906013701126
46,765,26.25903414782208
46,785,24.710502625245667
46,2600,26.319036849300897
47,1357,66.78961447719028
47,2122,74.23552263134268
47,2213,70.31998315672307
48,75,31.63881023153152
48,183,39.71328980415459
48,815,41.2139589070371
49,292,60.144013101104335
49,857,58.49247061340677
49,888,50.49143536300778
49,1821,55.81710332480515
49,2566,42.33587480286091
49,2590,73.33586390734783
50,97,41.8379650247601
50,428,55.324982430179276
50,430,54.87704401716297
50,431,42.25661108554933
51,1138,91.05854845340812
51,1813,38.362942001685894
51,2590,78.32985767715982
52,851,67.07396989536576
52,867,41.95067031801913
52,944,51.929532844119514
53,133,11.467172910475142
53,753,5.22267046423915
53,791,21.993842519497115
53,855,28.583971072414517
54,84,23.92298299333793
54,270,28.24078597789941
54,2375,25.738484984311103
55,2252,13.696560414256908
55,2567,18.96585133209642
56,406,27.34867910473407
56,989,41.44407217848269
56,1213,26.723112981064304
56,2256,46.50841417208489
57,676,53.32721224395428
57,907,66.18649403226412
57,1133,53.97005616064024
57,1851,64.03598453904641
57,2109,48.95864038370631
58,592,79.96320021441977
58,883,65.22116561321862
58,1077,76.43513311654534
58,1111,10.093165299387158
58,1560,52.464557686512435
58,1759,96.19571030626079
59,838,41.64576233577409
59,1386,24.2461426212735
59,1928,16.241987039496504
59,2418,20.526468626096193
60,911,44.51306429441747
60,920,40.33741673059795
60,2285,47.46694199603957
61,532,28.68706807767464
61,618,18.00573831429493
61,1820,34.731406030113845
62,985,43.99868990489415
62,1561,63.738517731697996
62,2584,39.95538702175344
63,91,154.1230412582349
63,2565,163.4212033449662
63,2611,74.17192381323976
63,2621,206.25242064263122
64,69,62.47179403762815
64,280,12.792622267769653
64,1331,87.45344063507989
64,2362,40.97845365901653
65,1370,77.12172211257882
65,1562,20.63249511412676
65,2466,93.00580562544644
66,207,13.431590864936807
66,208,12.28038767478332
66,834,0.7675243597317605
66,2689,17.304985870413795
66,2705,2.223898532890329
67,637,72.64959171063764
67,1061,81.64308477437473
67,1436,72.08925602444113
68,1295,52.125417765482666
68,1394,45.644516343493585
68,2617,51.68362339336893
69,280,68.88528349364098
69,705,17.471506753615003
69,2362,29.341291488922167
70,590,76.47303155187724
70,1294,48.51016161891781
70,1449,38.73713512653519
70,1705,72.81512182898251
71,895,11.776838091348093
71,2704,25.095547501960667
72,116,10.062401755716762
72,156,48.89906764080077
72,2700,39.073706704451396
73,578,48.54155639300107
73,600,50.692760421106826
73,603,38.92498214695468
73,1407,52.863599714626204
74,953,56.48307063842708
74,1686,63.9845278590973
74,2587,45.87062631174501
74,2655,50.80407879843635
75,815,26.237121008999416
75,935,31.23001851573466
75,2616,13.368085336042332
76,1629,40.44183884116568
76,1639,33.3169172067669
76,1936,33.80028854530673
76,2420,28.267831681258425
77,433,80.56243802127698
77,437,77.14243898781262
77,1609,128.4598966615956
77,2421,83.47605920178532
78,789,35.06315878539714
78,790,8.750211866982085
78,792,34.29538797643432
79,369,38.42584594112569
79,530,81.45898198065754
79,2141,65.50439853806171
80,90,13.433138368490035
80,446,12.008103372545458
80,530,14.00574725638224
80,2506,28.3746749780761
80,2550,12.758788377677758
81,981,27.773414946413226
81,1456,33.35516602625835
81,2310,14.055492709457457
82,1739,63.84780976070425
82,2150,60.809442515494396
82,2403,74.44536042619711
83,285,16.158013944202064
83,1207,77.14035948121763
83,2348,57.59839534489644
84,270,8.686369617515886
84,2202,30.83180103168489
84,2375,16.49602516523263
85,1250,26.607146945337504
85,1279,29.32140997830069
85,2250,115.40169298794179
86,338,23.923202543106417
86,1714,62.48801444499722
86,2203,41.587421755175384
87,246,17.163030569388276
87,680,0.4845388405854881
87,1297,20.116648709966857
87,2177,2.421849355817536
88,257,24.811067637780504
88,675,47.28614687923211
88,1016,25.07089329497124
88,1599,10.149473536940635
88,1888,16.657291697167793
89,315,7.060918031179016
89,647,18.467133656325164
89,1998,24.308173334483683
89,2165,23.04134006899696
90,446,1.4259852745740902
