id,station_id,latitude,longitude,elevation,name,country,region,timezone
1,04AEH,42.5665,-75.52416,312,Norwich,US,NY,America/New_York
2,0AGC0,45.62,-73.13,30,Ste Madeleine,CA,QC,America/Toronto
3,0CC8G,46.27,-73.02,45,Louiseville,CA,QC,America/Toronto
4,0CO7B,42.04,-82.67,200,Kingsville Moe,CA,ON,America/Toronto
5,0FV1F,42.86,-80.72,213,Tillsonburg Wwtp,CA,ON,America/Toronto
6,0FV2W,44.05,-77.3,108,Mountainview,CA,ON,America/Toronto
7,0JGQ7,45.95,-73.58,69,St Jacques,CA,QC,America/Toronto
8,0JPFS,45.2,-71.5,564,St Malo D Auckland,CA,QC,America/Toronto
9,0MV8M,41.11112,-111.96229,1459,Hill Air Force Base,US,UT,America/Denver
10,0NNEW,39.07056,-88.53333,179,Effingham County Memorial Airport,US,IL,America/Chicago
11,0OBKP,28.36281,-98.11647,39,Live Oak County Airport,US,TX,America/Chicago
12,0RJDR,41.32,-102.83,1263,Hotel (Gurley),US,NE,America/Denver
13,0XHK8,28.35,-88.26667,130,Mississippi Canyon,US,LA,Asia/Thimphu
14,10RIK,44.6,-75.67,96,Brockville Pcc,CA,ON,America/Toronto
15,128HL,44.1,-78.83,291,Blackstock,CA,ON,America/Toronto
16,12C2R,30.3567,-95.0083,46,Cleveland,US,TX,America/Chicago
17,13178,43.8,-81.18,319,Jamestown,CA,ON,America/Toronto
18,17CKT,42.85,-79.77,178,Rainham Century Farm,CA,ON,America/Toronto
19,1CZCV,36.37917,-97.79111,356,Enid Woodring Regional Airport,US,OK,America/Chicago
20,1D16Y,44.12,-77.52,86,Trenton Awos,CA,ON,America/Toronto
21,1FS1O,46.73,-70.02,373,Ste Lucie,CA,QC,America/Toronto
22,1GV5K,45.22,-73.85,38,Ste Martine,CA,QC,America/Toronto
23,1ISN3,38.6557,-78.7081,297,New Market Airport,US,VA,America/New_York
24,1J1PJ,45.88,-82.57,189,Gore Bay,CA,ON,America/Nipigon
25,1JWST,47.72,-84.81,401,Lake Superior Provincial Park,CA,ON,America/Nipigon
26,1LRNY,32.9951,-81.2703,49,Allendale County Airport,US,SC,America/New_York
27,1OQZV,45.95,-74.62,191,Arundel,CA,QC,America/Toronto
28,1PI72,45.88,-72.77,44,St Guillaume,CA,QC,America/Toronto
29,1Y8OJ,44.4,-76.91,150,Centreville,CA,ON,America/Toronto
30,210N7,37.85161,-96.29202,368,Lt. William M. Milliken Airport,US,KS,America/Chicago
31,2AYO3,45.58,-71.12,482,Milan,CA,QC,America/Toronto
32,2CC90,34.98374,-105.99576,1889,Moriarty Municipal Airport,US,NM,America/Denver
33,2FXL8,45.69,-81.98,231,Sandfield,CA,ON,America/Nipigon
34,2UCSD,45.32,-74.17,49,Coteau Du Lac,CA,QC,America/Toronto
35,2UG92,35.57056,-77.04972,12,Warren Field Airport,US,NC,America/New_York
36,2W8UZ,42.31,-82.08,197,Chatham Kent,CA,ON,America/Toronto
37,2XUGG,43.63,-79.4,77,Toronto City Centre,CA,ON,America/Toronto
38,37LBH,46.15,-70.7,168,St Georges,CA,QC,America/Toronto
39,3EADS,44.63,-79.54,285,Coldwater Warminster,CA,ON,America/Toronto
40,3FG4P,45.13,-74.35,53,St Anicet,CA,QC,America/Toronto
41,3MXT3,45.68,-74.04,82,Montreal Mirabel Intl Airport,CA,QC,America/Toronto
42,3NDQ8,45.38,-73.43,30,Laprairie,CA,QC,America/Toronto
43,3PCIL,44.5174,-108.0752,1199,South Big Horn County Airport,US,WY,America/Denver
44,3RGDT,45.08,-73.38,49,St Bernard De Lacolle,CA,QC,America/Toronto
45,3SPRK,42.914,-76.4408,316,Skaneateles Aero Drome,US,NY,America/New_York
46,3UYBF,45.57,-72.92,33,St Hyacinthe 2,CA,QC,America/Toronto
47,41FV1,47.27648,-121.33817,1209,Stampede Pass,US,WA,America/Los_Angeles
48,44BUQ,43.37,-81.0,345,Stratford Wwtp,CA,ON,America/Toronto
49,468T8,47.1,-110.2,1337,Windham,US,MT,America/Denver
50,48DPX,38.42856,-105.10685,1658,Fremont County Airport,US,CO,America/Denver
51,49HYF,45.80647,-109.97826,1369,Big Timber Airport,US,MT,America/Denver
52,4DA9G,44.65,-77.12,215,Kaladar,CA,ON,America/Toronto
53,4DUJO,43.73,-80.33,418,Fergus Shand Dam,CA,ON,America/Toronto
54,4MIKP,27.6925,-97.29111,6,Corpus Christi Naval Air Station,US,TX,America/Chicago
55,4MT3C,46.05,-70.52,244,St Come De Liniere,CA,QC,America/Toronto
56,4P0GT,38.55,-89.85,138,Belleville Airport,US,IL,America/Chicago
57,4V5MO,31.297,-89.8128,80,Columbia-Marion County Airport,US,MS,America/Chicago
58,4X77V,46.16551,-103.30074,904,Bowman Regional Airport,US,ND,America/Denver
59,4XCYX,39.9354,-86.04507,247,Indianapolis Metro Airport,US,IN,America/Indiana/Indianapolis
60,52GQ6,29.6586,-81.6889,15,Palatka Kay Larkin Field,US,FL,America/New_York
61,56FNV,42.92964,-71.43559,71,Manchester Airport,US,NH,America/New_York
62,57Z0A,40.1046,-102.7128,1256,Yuma Municipal Airport,US,CO,America/Denver
63,5DK9D,27.84,-91.988,21,GB172/Salsa (Shell E-P),US,LA,America/Chicago
64,5EBO4,29.36652,-100.78469,330,Laughlin Air Force Base Auxiliary Airfield,US,TX,America/Chicago
65,5F44V,31.562,-91.5065,16,Vidalia Concordia Parish,US,LA,America/Chicago
66,5HJUY,46.35,-72.68,61,Trois Rivieres Airport,CA,QC,America/Toronto
67,5IMJX,37.30706,-108.62644,1803,Cortez-Montezuma County Airport,US,CO,America/Denver
68,5IQZ5,32.0717,-93.764,96,Mansfield - C E Rusty Williams Airport,US,LA,America/Chicago
69,5K6VK,28.8571,-100.5135,270,Maverick County Memorial International Airport,US,TX,America/Chicago
70,5KQCG,47.2605,-95.9281,383,Mahnomen County Airport,US,MN,America/Chicago
71,5LV1S,45.7,-74.93,197,Montebello (sedbergh),CA,QC,America/Toronto
72,5MKGL,44.76,-79.88,180,Midland Water Pollution Control Plant,CA,ON,America/Toronto
73,5Q4PV,46.3271,-119.9704,234,Sunnyside Municipal Airport,US,WA,America/Los_Angeles
74,5R08Z,30.2427,-92.6735,7,Jennings Airport,US,LA,America/Chicago
75,5RUZT,43.14,-80.77,282,Woodstock,CA,ON,America/Toronto
76,5WIOQ,39.9327,-83.462,330,London Madison County Airport,US,OH,America/New_York
77,60KP4,39.33133,-111.61273,1676,Manti-Ephraim Airport,US,UT,America/Denver
78,65YVF,45.29,-75.06,80,St. Albert,CA,ON,America/Toronto
79,69002,35.9935,-121.2367,310,Hunter Ligget / Hunter-Liggett,US,CA,America/Los_Angeles
80,69007,36.6815,-121.7617,42,Fort Ord / Blanco,US,CA,America/Los_Angeles
81,69014,33.6667,-117.7167,119,Irvine,US,CA,America/Los_Angeles
82,69015,34.2962,-116.1622,625,Twentynine Palms / Sunfair Heights,US,CA,America/Los_Angeles
83,69019,32.4198,-99.8554,545,Abilene / Tye,US,TX,America/Chicago
84,69029,27.8118,-97.0888,2,Port Aransas / Mustang Beach,US,TX,America/Indiana/Tell_City
85,69033,45.6726,-121.5365,195,Hood Canal Bridge / Rockford,US,OR,America/Los_Angeles
86,69050,35.1667,-94.2,143,Fort Chaffee / Burnville,US,AR,America/Chicago
87,69052,30.42,-86.68,12,Mary Esther,US,FL,America/Chicago
88,69535,30.36,-89.56,10,Gulfport / Napoleon,US,MS,America/Chicago
89,69536,36.93,-76.27,5,Norfolk / Granby Shores,US,VA,America/New_York
90,69542,36.59,-121.86,152,Monterey / Del Monte,US,CA,America/Los_Angeles
91,6G2N8,27.625,-90.441,56,Green Canyon 338 Front Runner,US,LA,Asia/Thimphu
92,6KPQR,32.75631,-101.92022,914,Lamesa Municipal Airport,US,TX,America/Chicago
93,6MNKR,46.5,-71.08,145,Scott,CA,QC,America/Toronto
94,6MPJE,37.7138,-106.352,2424,Astronaut Kent Rominger - Del Norte,US,CO,America/Denver
95,6N2T2,42.39,-82.22,180,Chatham Wpcp,CA,ON,America/Toronto
96,6NBCC,46.07,-76.05,142,Wright,CA,QC,America/Toronto
97,6V0WP,38.74343,-104.84334,2040,Cheyenne Mountain,US,CO,America/Denver
98,6X8YG,43.9848,-73.0959,149,Middlebury State Airport,US,VT,America/New_York
99,70580,40.8249,-115.7917,1567,Elko / Coin,US,NV,America/Los_Angeles
100,71019,47.16,-67.83,245,St Leonard CS,CA,NB,America/Moncton
101,71063,45.38,-75.72,79,Ottawa CDA RCS,CA,ON,America/Toronto
102,71151,46.9,-71.5,168,Valcartier,CA,ON,America/Toronto
103,71171,43.18,-79.4,79,Vineland Station RCS,CA,ON,America/Toronto
104,71172,45.34,-80.04,176,Parry Sound,CA,ON,America/Nipigon
105,71184,45.72,-73.38,18,Varennes,CA,QC,America/Toronto
106,71198,46.18,-72.92,16,Lac Saint-Pierre,CA,QC,America/Toronto
107,71212,47.32,-71.15,673,Foret Montmorency RCS,CA,QC,America/Toronto
108,71260,46.49,-84.51,192,Sault Ste Marie Airport,CA,ON,America/Toronto
109,71261,43.77,-81.72,214,Goderich,CA,ON,America/Toronto
110,71262,43.2,-79.1667,98,St Catharines / Port Weller,CA,ON,America/Toronto
111,71263,43.17,-79.94,238,Hamilton Airport,CA,ON,America/Toronto
112,71265,43.6333,-79.4,77,Toronto Island Airport,CA,ON,America/Toronto
113,71268,46.3514,-82.5614,331,Elliot Lake,CA,ON,America/Nipigon
114,71270,44.5,-80.22,180,Collingwood,CA,ON,America/Toronto
115,71271,46.3167,-79.4667,204,Nipissing,CA,AB,America/Toronto
116,71272,44.85,-79.8667,183,Beausoleil Island,CA,ON,America/Toronto
117,71273,42.3,-82.7,184,Belle River,CA,SK,America/Toronto
118,71281,44.42,-75.85,82,Grenadier Island,CA,ON,America/Toronto
119,71282,44.55,-79.22,221,Lagoon City,CA,ON,America/Toronto
120,71283,44.7333,-81.2833,182,Oliphant  Ont,CA,AB,America/Toronto
121,71290,44.7,-76.3,125,Upper Rideau Lake,CA,ON,America/Toronto
122,71292,45.2333,-81.5333,190,Cyprus Lake / Tobermory,CA,ON,America/Toronto
123,71294,45.07,-77.88,331,Bancroft,CA,ON,America/Toronto
124,71296,44.23,-79.78,251,Egbert CS,CA,ON,America/Toronto
125,71297,43.29,-79.91,102,Hamilton Rbg CS,CA,ON,America/Toronto
126,71298,42.03,-82.9,191,Harrow CDA,CA,ON,America/Toronto
127,71300,45.0,-75.63,99,Kemptville CS,CA,ON,America/Toronto
128,71303,41.95,-82.52,177,Point Pelee CS,CA,ON,America/Toronto
129,71307,42.45,-81.88,206,Ridgetown RCS,CA,ON,America/Toronto
130,71314,44.48,-79.55,289,Barrie-Oro,CA,ON,America/Toronto
131,71319,47.28,-70.64,723,Charlevoix (mrc),CA,QC,America/Toronto
132,71323,46.21,-70.79,229,Beauceville,CA,QC,America/Toronto
133,71352,43.65,-80.42,376,Elora RCS,CA,ON,America/Toronto
134,71368,43.46,-80.38,322,Kitchener/waterloo,CA,ON,America/Toronto
135,71369,45.0167,-74.6833,63,Cornwall / Saint Regis,CA,ON,America/Toronto
136,71370,46.56,-72.73,110,Shawinigan,CA,QC,America/Toronto
137,71371,45.52,-73.42,27,Montreal Saint Hubert Airport,CA,QC,America/Toronto
138,71372,45.29,-73.35,44,L'Acadie,CA,QC,America/Toronto
139,71373,45.03,-72.85,224,Frelighsburg,CA,QC,America/Toronto
140,71376,46.08,-74.56,238,Saint-Jovite,CA,QC,America/Toronto
141,71377,45.43,-73.93,39,Sainte-Anne-de-Bellevue,CA,QC,America/Toronto
142,71378,47.41,-72.79,169,La Tuque,CA,QC,America/Toronto
143,71382,47.56,-71.23,791,L'Etape,CA,QC,America/Toronto
144,71384,47.08,-70.78,6,Cap-Tourmente,CA,QC,America/Toronto
145,71389,46.69,-71.97,61,Deschambault,CA,QC,America/Toronto
146,71391,45.84,-75.65,195,High Falls,CA,QC,America/Toronto
147,71392,46.78,-71.29,91,Ste-Foy,CA,QC,America/Toronto
148,71420,45.5167,-75.5667,64,Ottawa / Templeton,CA,QC,America/Toronto
149,71424,47.0,-70.81,4,Ile D'Orleans,CA,QC,America/Toronto
150,71430,43.83,-77.15,79,Point Petre,CA,ON,America/Toronto
151,71431,43.95,-78.17,78,Cobourg,CA,ON,America/Toronto
152,71432,43.25,-79.22,79,Port Weller,CA,ON,America/Toronto
153,71433,47.33,-85.83,187,Caribou Island,CA,ON,America/Nipigon
154,71436,44.3833,-79.7833,295,"Barrie, Ontario",CA,ON,America/Toronto
155,71437,43.3,-79.8,77,Burlington Piers,CA,ON,America/Toronto
156,71438,45.03,-80.37,191,Western Island,CA,ON,America/Nipigon
157,71439,45.33,-81.73,181,Cove Island,CA,ON,America/Toronto
158,71460,45.97,-81.48,196,Killarney,CA,ON,America/Toronto
159,71462,45.63,-82.95,183,Great Duck Island,CA,ON,America/Nipigon
160,71463,42.87,-79.25,184,Port Colborne,CA,ON,America/Toronto
161,71464,42.53,-80.05,175,Long Point,CA,ON,America/Toronto
162,71465,42.25,-81.9,178,Erieau,CA,ON,America/Toronto
163,71466,41.83,-82.47,195,Southeast Shoal,CA,ON,America/Toronto
164,71494,46.05,-71.27,430,Thetford Mines RCS,CA,QC,America/Toronto
165,71508,43.67,-79.4,112,Toronto City,CA,ON,America/Toronto
166,71524,45.81,-73.43,21,L'Assomption,CA,QC,America/Toronto
167,71527,42.85,-80.2667,241,"Simcoe, Ontario",CA,ON,America/Toronto
168,71534,44.27,-79.91,222,Borden Awos,CA,ON,America/Toronto
169,71538,42.28,-82.96,190,Windsor Airport,CA,ON,America/Toronto
170,71573,42.87,-80.55,232,Delhi CS,CA,ON,America/Toronto
171,71578,46.84,-71.2,10,Beauport,CA,QC,America/Toronto
172,71581,45.53,-78.27,397,Algonquin Park East Gate,CA,ON,America/Toronto
173,71590,47.42,-68.32,154,Edmundston,CA,NB,America/Moncton
174,715W9,37.99858,-101.7476,1013,Syracuse-Hamilton County Municipal Airport,US,KS,America/Denver
175,71610,45.43,-71.68,241,Sherbrooke Airport,CA,QC,America/Toronto
176,71611,45.37,-71.82,181,Lennoxville,CA,QC,America/Toronto
177,71612,45.5,-73.58,73,Montreal McTavish,CA,QC,America/Toronto
178,71614,45.17,-73.68,53,Ste-Clotilde,CA,QC,America/Toronto
179,71616,46.3,-72.06,97,Lemieux,CA,QC,America/Toronto
180,71618,45.3167,-72.25,851,Mont-Orford,CA,QC,America/Toronto
181,71620,44.2167,-76.6,93,Kingston,CA,ON,America/Toronto
182,71621,44.12,-77.53,86,Trenton Airport,CA,ON,America/Toronto
183,71623,43.03,-81.15,278,London International Airport,CA,ON,America/Toronto
184,71624,43.68,-79.63,173,Toronto Pearson International Airport,CA,ON,America/Toronto
185,71625,45.95,-77.32,130,Petawawa Airport,CA,ON,America/Toronto
186,71627,45.47,-73.74,36,Montreal International Airport,CA,QC,America/Toronto
187,71628,45.32,-75.67,115,Ottawa International Airport,CA,ON,America/Toronto
188,71629,44.2333,-78.3667,191,Peterborough Airport,CA,ON,America/Toronto
189,71630,44.97,-79.3,282,Muskoka Airport,CA,ON,America/Toronto
190,71631,43.98,-80.75,414,Mount Forest,CA,ON,America/Toronto
191,71632,45.8,-80.5333,190,"Britt, Ontario",CA,ON,America/Nipigon
192,71633,44.74,-81.11,222,Wiarton Airport,CA,ON,America/Toronto
193,71634,43.0,-82.3167,181,Sarnia Airport,CA,NB,America/Toronto
194,71639,43.86,-79.37,198,Toronto Buttonville Airport,CA,ON,America/Toronto
195,71672,44.35,-78.3,216,Peterborough Trent U,CA,ON,America/Toronto
