id,name,country,region,latitude,longitude,elevation,timezone,distance
04AEH,Norwich,US,NY,42.5665,-75.52416,312,America/New_York,1913289.8
0AGC0,Ste Madeleine,CA,QC,45.62,-73.13,30,America/Toronto,1802116.9
0CC8G,Louiseville,CA,QC,46.27,-73.02,45,America/Toronto,1873715.5
0CO7B,Kingsville Moe,CA,ON,42.04,-82.67,200,America/Toronto,1939158.5
0FV1F,Tillsonburg Wwtp,CA,ON,42.86,-80.72,213,America/Toronto,1934989.8
0FV2W,Mountainview,CA,ON,44.05,-77.3,108,America/Toronto,1899514.8
0JGQ7,St Jacques,CA,QC,45.95,-73.58,69,America/Toronto,1827502.6
0JPFS,St Malo D Auckland,CA,QC,45.2,-71.5,564,America/Toronto,1801438.3
0MV8M,Hill Air Force Base,US,UT,41.11112,-111.96229,1459,America/Denver,1979497.7
0NNEW,Effingham County Memorial Airport,US,IL,39.07056,-88.53333,179,America/Chicago,1873392.4
0OBKP,Live Oak County Airport,US,TX,28.36281,-98.11647,39,America/Chicago,1355777.9
0RJDR,Hotel (Gurley),US,NE,41.32,-102.83,1263,America/Denver,1924668.7
0XHK8,Mississippi Canyon,US,LA,28.35,-88.26667,130,Asia/Thimphu,1250151.5
10RIK,Brockville Pcc,CA,ON,44.6,-75.67,96,America/Toronto,1644911.8
128HL,Blackstock,CA,ON,44.1,-78.83,291,America/Toronto,1830994.4
12C2R,Cleveland,US,TX,30.3567,-95.0083,46,America/Chicago,1697749.5
13178,Jamestown,CA,ON,43.8,-81.18,319,America/Toronto,1704082.4
17CKT,Rainham Century Farm,CA,ON,42.85,-79.77,178,America/Toronto,1927140.6
1CZCV,Enid Woodring Regional Airport,US,OK,36.37917,-97.79111,356,America/Chicago,1769362.4
1D16Y,Trenton Awos,CA,ON,44.12,-77.52,86,America/Toronto,1894718.3
1FS1O,Ste Lucie,CA,QC,46.73,-70.02,373,America/Toronto,1872810.1
1GV5K,Ste Martine,CA,QC,45.22,-73.85,38,America/Toronto,1743666.2
1ISN3,New Market Airport,US,VA,38.6557,-78.7081,297,America/New_York,1776374.7
1J1PJ,Gore Bay,CA,ON,45.88,-82.57,189,America/Nipigon,1867982.4
1JWST,Lake Superior Provincial Park,CA,ON,47.72,-84.81,401,America/Nipigon,1969851.4
1LRNY,Allendale County Airport,US,SC,32.9951,-81.2703,49,America/New_York,1152260.3
1OQZV,Arundel,CA,QC,45.95,-74.62,191,America/Toronto,1808114.0
1PI72,St Guillaume,CA,QC,45.88,-72.77,44,America/Toronto,1838117.9
1Y8OJ,Centreville,CA,ON,44.4,-76.91,150,America/Toronto,1949317.6
210N7,Lt. William M. Milliken Airport,US,KS,37.85161,-96.29202,368,America/Chicago,1975909.6
2AYO3,Milan,CA,QC,45.58,-71.12,482,America/Toronto,1851899.1
2CC90,Moriarty Municipal Airport,US,NM,34.98374,-105.99576,1889,America/Denver,1887262.8
2FXL8,Sandfield,CA,ON,45.69,-81.98,231,America/Nipigon,1865786.6
2UCSD,Coteau Du Lac,CA,QC,45.32,-74.17,49,America/Toronto,1748008.8
2UG92,Warren Field Airport,US,NC,35.57056,-77.04972,12,America/New_York,1632237.1
2W8UZ,Chatham Kent,CA,ON,42.31,-82.08,197,America/Toronto,1985084.6
2XUGG,Toronto City Centre,CA,ON,43.63,-79.4,77,America/Toronto,1762073.7
37LBH,St Georges,CA,QC,46.15,-70.7,168,America/Toronto,1922980.3
3EADS,Coldwater Warminster,CA,ON,44.63,-79.54,285,America/Toronto,1849472.3
3FG4P,St Anicet,CA,QC,45.13,-74.35,53,America/Toronto,1724087.5
3MXT3,Montreal Mirabel Intl Airport,CA,QC,45.68,-74.04,82,America/Toronto,1789301.2
3NDQ8,Laprairie,CA,QC,45.38,-73.43,30,America/Toronto,1769797.4
3PCIL,South Big Horn County Airport,US,WY,44.5174,-108.0752,1199,America/Denver,1642283.8
3RGDT,St Bernard De Lacolle,CA,QC,45.08,-73.38,49,America/Toronto,1738982.0
3SPRK,Skaneateles Aero Drome,US,NY,42.914,-76.4408,316,America/New_York,1941215.7
3UYBF,St Hyacinthe 2,CA,QC,45.57,-72.92,33,America/Toronto,1801737.0
41FV1,Stampede Pass,US,WA,47.27648,-121.33817,1209,America/Los_Angeles,1924441.6
44BUQ,Stratford Wwtp,CA,ON,43.37,-81.0,345,America/Toronto,1993976.3
468T8,Windham,US,MT,47.1,-110.2,1337,America/Denver,1905693.2
48DPX,Fremont County Airport,US,CO,38.42856,-105.10685,1658,America/Denver,1550737.8
49HYF,Big Timber Airport,US,MT,45.80647,-109.97826,1369,America/Denver,1763449.0
4DA9G,Kaladar,CA,ON,44.65,-77.12,215,America/Toronto,1960733.4
4DUJO,Fergus Shand Dam,CA,ON,43.73,-80.33,418,America/Toronto,1731231.9
4MIKP,Corpus Christi Naval Air Station,US,TX,27.6925,-97.29111,6,America/Chicago,1425164.5
4MT3C,St Come De Liniere,CA,QC,46.05,-70.52,244,America/Toronto,1918437.9
4P0GT,Belleville Airport,US,IL,38.55,-89.85,138,America/Chicago,1756665.2
4V5MO,Columbia-Marion County Airport,US,MS,31.297,-89.8128,80,America/Chicago,1223216.3
4X77V,Bowman Regional Airport,US,ND,46.16551,-103.30074,904,America/Denver,1931996.5
4XCYX,Indianapolis Metro Airport,US,IN,39.9354,-86.04507,247,America/Indiana/Indianapolis,1632747.8
52GQ6,Palatka Kay Larkin Field,US,FL,29.6586,-81.6889,15,America/New_York,1905554.2
56FNV,Manchester Airport,US,NH,42.92964,-71.43559,71,America/New_York,1963548.5
57Z0A,Yuma Municipal Airport,US,CO,40.1046,-102.7128,1256,America/Denver,1810077.5
5DK9D,GB172/Salsa (Shell E-P),US,LA,27.84,-91.988,21,America/Chicago,1946496.7
5EBO4,Laughlin Air Force Base Auxiliary Airfield,US,TX,29.36652,-100.78469,330,America/Chicago,1132758.1
