id,name,country,region,latitude,longitude,elevation,timezone,distance
52GQ6,Palatka Kay Larkin Field,US,FL,29.6586,-81.6889,15,America/New_York,1838843.8
69052,Mary Esther,US,FL,30.42,-86.68,12,America/Chicago,1747809.3
72201,Key West Airport,US,FL,24.55,-81.1,1,America/New_York,1411360.3
72202,Miami International Airport,US,FL,25.7833,-80.3167,4,America/New_York,1565810.3
72203,Palm Beach International,US,FL,26.6833,-80.1,6,America/New_York,1655458.6
72204,Melbourne International,US,FL,28.1,-80.65,10,America/New_York,1746610.1
72205,Orlando Airport,US,FL,28.41822,-81.32413,29,America/New_York,1738927.8
72206,Jacksonville International,US,FL,30.5,-81.0333,9,America/New_York,1951361.3
72210,Tampa Bay Area,US,FL,27.7,-82.4,12,America/New_York,1615523.9
72211,Tampa International Airport,US,FL,27.9667,-82.5333,8,America/New_York,1634594.1
72212,Cross City Airport,US,FL,29.6333,-83.1,13,America/New_York,1774028.0
72213,Waycross / Ware County,US,GA,31.25,-82.4,46,America/New_York,1965333.4
72214,Tallahassee Airport,US,FL,30.4,-84.0167,25,America/New_York,1818109.2
72220,Apalachicola Municipal Airport,US,FL,29.7167,-85.0167,6,America/New_York,1714143.4
72221,Valparaiso / Eglin Air Force Base,US,FL,30.4833,-86.5167,26,America/Chicago,1757991.6
72222,Pensacola / Pleasant Grove,US,FL,30.3533,-87.318,9,America/Indiana/Tell_City,1729042.3
74756,Gainesville / Brittany Estates Mobile Home Park,US,FL,29.6901,-82.2718,46,America/New_York,1815092.5
74775,Tyndall Air Force Base,US,FL,30.0667,-85.5833,5,America/Chicago,1735142.7
74776,Marianna / Chipola Terrace,US,FL,30.8378,-85.1819,34,America/Chicago,1828250.4
74777,Hurlburt Field,US,FL,30.4167,-86.6833,12,America/Chicago,1747384.9
74781,Moody Air Force Base,US,GA,30.9667,-83.2,71,America/New_York,1905709.9
74782,Jacksonville / Hatch Road Mobile Home Park,US,FL,30.3363,-81.5144,13,America/New_York,1912864.8
74783,Fort Lauderdale,US,FL,26.0726,-80.1527,3,America/New_York,1600728.1
74787,Daytona Beach / Mansfield Mobile Home Park,US,FL,29.1799,-81.0581,10,America/New_York,1824323.9
74788,"Macdill Air Force Base, Fl.",US,FL,27.85,-82.5,4,America/New_York,1624961.9
74793,Gifford,US,FL,27.6561,-80.4181,44,America/New_York,1720277.7
74794,"Cocoa Beach, Cape Canaveral Air Force Station Skid Strip",US,FL,28.4667,-80.5667,3,America/New_York,1784637.5
74795,Cocoa / Patrick Air Force Base,US,FL,28.2333,-80.6,3,America/New_York,1761534.2
74796,Avon Park Gunnery Range,US,FL,27.65,-81.3333,20,America/New_York,1667174.0
DFSW4,Defuniak Spr Ap,US,FL,30.7311,-86.1538,88,America/Chicago,1792637.1
F5PS0,Donalsonville Municipal Airport,US,GA,31.00697,-84.87761,45,America/New_York,1854753.8
G93KN,Tri-County Airport,US,FL,30.84389,-85.60175,26,America/Chicago,1817881.0
GDDIA,Key West Naval Air Station,US,FL,24.58009,-81.68293,2,America/New_York,1374557.6
INGE8,Quincy Municipal Airport,US,FL,30.59787,-84.55743,69,America/New_York,1821106.1
JY84X,Opa Locka Airport,US,FL,25.91,-80.28306,3,America/New_York,1578559.2
K0J40,Florala / Stedman,US,AL,31.0425,-86.3116,96,America/Chicago,1822947.3
K2CB0,Camp Blanding Mil Res(Starke) / Kingsley Beach,US,FL,29.9669,-81.9832,60,America/New_York,1855294.5
K40J0,Perry / Everetts Mobile Home Park,US,FL,30.0693,-83.5806,13,America/New_York,1799594.1
K42J0,Keystone Heights / Theressa,US,FL,29.8448,-82.0475,60,America/New_York,1840396.8
K79J0,Andalusia / Sanford,US,AL,31.3087,-86.3938,95,America/Chicago,1850157.2
KAPF0,Naples / East Naples,US,FL,26.1523,-81.7758,2,America/New_York,1505767.4
KBCT0,Boca Raton / Floresta,US,FL,26.3785,-80.1077,4,America/New_York,1629238.6
KBGE0,Decatur / Lynn,US,GA,30.9716,-84.6369,43,America/New_York,1858060.7
KBIJ0,Blakely,US,GA,31.3975,-84.8948,65,America/New_York,1895736.8
KBKV0,Brooksville / Ayers,US,FL,28.4736,-82.4554,23,America/New_York,1687480.0
KBOW0,Bartow / Terio's Mobile Home Park,US,FL,27.9434,-81.7834,38,America/New_York,1670220.3
KBQK0,Brunswick / Cabana Court Mobile Home Park,US,GA,31.259,-81.4663,8,America/New_York,1814060.7
KCEW0,Crestview / Silver Springs,US,FL,30.7788,-86.5221,65,America/Chicago,1789982.9
KCGC0,Crystal River / Cutlers,US,FL,28.8673,-82.5713,2,America/New_York,1720588.2
KCLW0,Clearwater / Coachman,US,FL,27.9767,-82.7587,21,America/New_York,1624747.5
KCXU0,Camilla,US,GA,31.2132,-84.2352,54,America/New_York,1895825.6
KDED0,Deland / Orangewood Mobile Home Park,US,FL,29.067,-81.2837,24,America/New_York,1802091.7
KDHN0,Dothan / Napier Field,US,AL,31.321,-85.4495,122,America/Chicago,1872878.8
KDQH0,Douglas / Bethel,US,GA,31.4767,-82.8606,78,America/New_York,1970525.7
KDTS0,Destin,US,FL,30.4001,-86.4715,7,America/Chicago,1749902.8
KECP0,Panama City / West Bay,US,FL,30.3582,-85.7956,21,America/Chicago,1760903.0
KEDN0,Enterprise / Pine Forest,US,AL,31.2997,-85.8998,110,America/Chicago,1859795.0
KEGI0,Duke Fld / Killingsworth Crossroads,US,FL,30.6503,-86.5229,59,America/Chicago,1776003.3
KEVB0,New Smyrna Beach / Isleboro,US,FL,29.0557,-80.9489,3,America/New_York,1818343.7
KF450,West Palm Beach / Delta,US,FL,26.8459,-80.2224,7,America/New_York,1661538.8
KFHB0,Fernandina Beach / Amelia Island,US,FL,30.6118,-81.4612,5,America/New_York,1942187.9
KFMY0,Fort Myers / Page Park,US,FL,26.5866,-81.8632,5,America/New_York,1540030.9
KFPR0,Fort Pierce / Lakewood Park,US,FL,27.4975,-80.3726,7,America/New_York,1708969.3
KFXE0,Fort Lauderdale / Twin Lakes (Historical),US,FL,26.1973,-80.1707,4,America/New_York,1609931.1
KGZH0,Evergreen / Fairview,US,AL,31.4158,-87.0441,79,America/Chicago,1849917.9
KHEG0,Jacksonville / Normandy Estates Mobile Home Community,US,FL,30.2778,-81.8059,26,America/New_York,1893823.9
KHOE0,Homerville,US,GA,31.0559,-82.7741,57,America/New_York,1930950.2
KHST0,Homestead / Homestead Base,US,FL,25.4884,-80.3837,2,America/New_York,1537002.9
KHWO0,Hollywood / Pembroke Pines,US,FL,26.0012,-80.2407,2,America/New_York,1588953.8
KIMM0,Immokalee,US,FL,26.4338,-81.4014,11,America/New_York,1553122.1
KINF0,Inverness / Inverness Highlands South,US,FL,28.8036,-82.3183,20,America/New_York,1726069.6
KISM0,Orlando / Country Life Family Mobile Home Park,US,FL,28.2898,-81.4371,25,America/New_York,1720940.1
KJKA0,Gulf Shores / Bay Village Mobile Home Park,US,AL,30.2896,-87.6718,5,America/Chicago,1716681.6
KLAL0,Lakeland / Dranefield Mobile Home Park,US,FL,27.9889,-82.0186,43,America/New_York,1662365.4
KLCQ0,Lake City / Wilburn,US,FL,30.1821,-82.5769,61,America/New_York,1850780.7
KLEE0,Leesburg / Haven On Lake Harris Mobile Home Park,US,FL,28.8229,-81.8084,23,America/New_York,1752508.8
KLNA0,Lantana / Lake Osborne Trailer Ranch,US,FL,26.5931,-80.0851,4,America/New_York,1648780.5
KLOR0,Fort Rucker / Holiday Village,US,AL,31.3558,-85.7512,90,America/Chicago,1869284.9
KMGR0,Moultrie / Sunset,US,GA,31.0849,-83.8033,90,America/New_York,1896532.9
KMKY0,Marco Island / Old Marco Junction,US,FL,25.995,-81.6725,2,America/New_York,1497856.0
KMTH0,Marathon / Marathon Shores,US,FL,24.7262,-81.0514,2,America/New_York,1429095.1
KNDZ0,Milton / Roeville,US,FL,30.6986,-87.0144,54,America/Chicago,1771955.7
KNEN0,Jackson / Mandeville,US,FL,30.3502,-81.8832,30,America/New_York,1897472.9
KNFJ0,Milton / Pine Bluff,US,FL,30.5069,-86.9597,31,America/Chicago,1751984.9
KNRB0,Mayport,US,FL,30.3914,-81.4245,5,America/New_York,1922397.1
KNSE0,Milton / Point Baker,US,FL,30.7225,-87.0239,61,America/Chicago,1774402.4
KOBE0,Okeechobee / Azteca Mobile Home Park,US,FL,27.2666,-80.8504,10,America/New_York,1660042.7
KOCF0,Ocala / Ocala Thoroughbred Acres,US,FL,29.1719,-82.2241,27,America/New_York,1766395.2
KOMN0,Ormond Beach / Bear Creek Mobile Home Park,US,FL,29.3006,-81.1136,8,America/New_York,1832868.8
KORL0,Orlando / Azalea Park,US,FL,28.5455,-81.3329,34,America/New_York,1750391.6
KOZR0,Fort Rucker / Ft Rucker / Ozark / Daleville,US,AL,31.2758,-85.7134,92,America/Chicago,1861563.9
KPCM0,Plant City / Margaline Gardens,US,FL,28.0002,-82.1633,46,America/New_York,1656108.3
KPFN0,Panama City / Pretty Bayou,US,FL,30.2121,-85.6828,6,America/Chicago,1748092.1
KPGD0,Punta Gorda / Ventura Lakes Mobile Home Park,US,FL,26.9189,-81.9909,8,America/New_York,1563447.2
KPIE0,Saint Petersburg / High Point,US,FL,27.91,-82.6874,3,America/New_York,1621663.4
KPMP0,Pompano Beach / Kendall Green,US,FL,26.2471,-80.1111,6,America/New_York,1618015.0
KQGE0,Pensacola / Mary Esther,US,FL,30.4,-86.67,11,America/Chicago,1745831.9
KRSW0,Fort Myers / Gateway,US,FL,26.5362,-81.7552,9,America/New_York,1541616.3
KSEF0,Sebring / Istokpoga,US,FL,27.4564,-81.3424,19,America/New_York,1648910.1
KSFB0,Sanford / Orlando / Midway,US,FL,28.7767,-81.2355,17,America/New_York,1777192.1
KSGJ0,St Augustine / Kingsley Mobile Home Park,US,FL,29.9593,-81.3397,3,America/New_York,1884570.1
KSPG0,Saint Petersburg,US,FL,27.7651,-82.627,2,America/New_York,1610557.3
KSRQ0,Sarasota / Ballentine Manor,US,FL,27.3954,-82.5544,9,America/New_York,1578625.6
KSSI0,Brunswick / Mallory Park,US,GA,31.1518,-81.3913,6,America/New_York,1998241.7
KSUA0,Stuart / Golden Gate,US,FL,27.1817,-80.2213,5,America/New_York,1690578.9
KSXS0,Schell / Boland Acres,US,AL,31.3627,-85.8494,122,America/Chicago,1867747.3
KTIX0,Titusville / Manatee Hammock Park Mobile Home Park,US,FL,28.5148,-80.7992,10,America/New_York,1776161.1
KTMA0,Tifton / Unionville,US,GA,31.429,-83.4885,108,America/New_York,1943004.4
KTMB0,Miami / Country Walk,US,FL,25.6479,-80.4328,3,America/New_York,1546836.4
KTPF0,Tampa / The Pointe At Harbour Island,US,FL,27.9156,-82.4493,2,America/New_York,1633770.7
KTTS0,Cape Kennedy / Wilson,US,FL,28.6149,-80.6944,2,America/New_York,1791119.8
KTVI0,Thomasville / Dillon,US,GA,30.9018,-83.8811,81,America/New_York,1874866.6
KVDF0,Tampa / Firn Acres,US,FL,28.014,-82.3453,6,America/New_York,1648359.8
KVLD0,Valdosta / Macville (Historical),US,GA,30.7814,-83.2762,62,America/New_York,1883898.1
KVNC0,Venice / South Venice,US,FL,27.0716,-82.4403,6,America/New_York,1553681.7
