id,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
1,69.56,68.72,68.42,67.7,67.75999999999999,67.52,67.27999999999999,66.86,66.62,66.62,66.44,65.83999999999999,65.24000000000001,66.8,69.92,72.74,76.04,75.98,76.33999999999999,75.38,74.18,75.08,73.28,70.88000000000001
2,67.10000000000001,66.2,65.83999999999999,65.60000000000001,65.12,64.75999999999999,64.27999999999999,63.56,62.9,62.120000000000005,61.339999999999996,61.04,60.199999999999996,61.75999999999999,65.24,69.14,71.54,73.21999999999998,75.92,76.94,77.83999999999999,77.54,76.94,74.0
3,82.94,82.94,82.94,82.94,82.04,80.96,80.96,80.96,80.06,80.96,80.06,80.06,80.06,82.04,86.0,87.08000000000001,87.08000000000001,87.08000000000001,87.08000000000001,87.98,87.08000000000001,87.08000000000001,86.0,82.94
4,78.98,78.98,78.98,78.08,75.92,75.92,75.92,75.02,73.94,75.02,77.0,75.92,75.92,78.08,80.96,82.04,84.02,84.91999999999999,86.0,84.02,84.02,82.94,82.04,80.06
5,80.06,80.06,78.98,78.98,78.08,75.02,73.94,73.94,73.94,73.04,73.04,73.94,73.04,73.94,78.98,82.04,78.98,82.94,84.02,84.91999999999999,84.02,82.94,80.96,80.06
6,80.06,78.08,77.0,77.0,77.0,77.0,75.92,75.02,73.94,73.04,73.04,73.04,71.96,73.94,80.06,82.94,82.94,84.02,84.91999999999999,84.91999999999999,84.91999999999999,80.96,78.98,75.92
7,75.02,73.04,73.04,73.04,71.96,71.96,71.06,71.06,71.06,69.98,69.08,69.08,69.98,71.96,73.94,75.92,80.06,80.96,80.96,80.96,82.04,78.08,78.08,75.92
8,69.98,69.08,69.08,68.0,66.02,66.92,66.02,66.02,64.94,64.94,64.04,64.04,62.959999999999994,66.02,69.98,73.94,73.94,77.0,75.92,77.0,75.02,73.94,71.96,69.08
9,77.36,77.60000000000001,76.27999999999999,75.56,74.96,73.75999999999999,73.52,72.92,71.83999999999999,71.54,71.42,71.54,71.24,72.86,74.89999999999999,77.83999999999999,79.10000000000001,81.38000000000001,82.52,83.60000000000001,84.38,83.06,81.32,78.98
10,78.08,77.0,77.0,75.92,75.02,75.02,73.94,73.04,71.96,71.96,71.96,71.96,69.98,71.96,75.02,78.08,80.06,82.04,84.02,84.91999999999999,86.0,84.91999999999999,84.02,82.04
