station,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
52GQ6,98.0,98.33333333333333,99.66666666666667,98.33333333333333,98.33333333333333,98.33333333333333,98.33333333333333,91.0,97.0,98.33333333333333,98.33333333333333,99.0,89.55555555555556,91.55555555555556,95.66666666666667,97.66666666666667,95.66666666666667,88.0,88.33333333333333,82.0,84.66666666666667,82.0,83.66666666666667,89.66666666666667
69052,80.0,83.33333333333333,85.0,89.0,88.0,83.0,78.66666666666667,79.0,78.33333333333333,80.66666666666667,78.0,78.33333333333333,75.0,78.33333333333333,76.0,70.0,67.0,66.33333333333333,65.66666666666667,66.66666666666667,66.33333333333333,66.66666666666667,71.33333333333333,74.0
72201,82.0,82.0,82.0,82.0,79.0,82.0,85.0,82.0,85.0,85.0,85.0,82.0,82.0,88.0,88.0,88.0,88.0,82.0,82.0,76.0,76.0,82.0,82.0,79.0
72202,91.0,94.0,94.0,91.0,94.0,94.0,94.0,94.0,94.0,94.0,90.0,88.0,90.0,94.0,88.0,77.0,77.0,79.0,97.0,96.0,97.0,90.0,94.0,94.0
72203,90.0,90.0,94.0,90.0,94.0,94.0,94.0,94.0,94.0,96.0,94.0,96.0,100.0,97.0,84.0,76.0,100.0,100.0,97.0,90.0,100.0,100.0,100.0,100.0
72204,79.0,79.0,79.0,82.0,82.0,82.0,82.0,84.0,84.0,93.0,93.0,93.0,93.0,93.0,87.0,71.0,66.0,60.0,81.0,90.0,81.0,78.0,78.0,87.0
72205,74.0,79.0,76.0,76.0,81.0,87.0,93.0,97.0,100.0,96.0,96.0,96.0,96.0,97.0,93.0,90.0,96.0,90.0,81.0,70.0,76.0,87.0,90.0,93.0
72206,96.0,97.0,93.0,97.0,100.0,97.0,100.0,96.0,96.0,96.0,97.0,97.0,96.0,93.0,96.0,93.0,87.0,81.0,70.0,63.0,61.0,61.0,66.0,81.0
72210,86.33333333333333,88.55555555555556,92.0,90.8888888888889,93.1111111111111,92.66666666666667,93.1111111111111,93.1111111111111,92.77777777777777,92.66666666666667,93.1111111111111,94.22222222222223,91.55555555555556,91.8888888888889,92.55555555555556,93.22222222222223,91.22222222222223,85.8888888888889,91.0,90.77777777777777,92.0,86.55555555555556,89.33333333333333,90.55555555555556
72211,84.0,84.0,94.0,93.0,93.0,93.0,93.0,93.0,90.0,93.0,93.0,93.0,93.0,93.0,90.0,90.0,90.0,90.0,93.0,90.0,87.0,84.0,87.0,93.0
72212,94.0,99.0,99.0,94.0,94.0,98.0,98.0,98.0,98.0,99.0,97.0,96.0,96.0,97.0,96.0,87.0,86.0,77.0,72.0,66.0,65.0,72.0,76.0,84.0
72213,90.0,90.0,91.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,91.0,90.0,90.0,90.0,75.0,69.0,62.0,64.0,68.0,77.0,91.0
72214,100.0,96.0,100.0,96.0,100.0,97.0,100.0,100.0,100.0,100.0,93.0,97.0,97.0,100.0,93.0,81.0,75.0,72.0,70.0,68.0,59.0,60.0,65.0,72.0
72220,97.0,96.0,84.0,90.0,90.0,86.0,86.0,90.0,90.0,93.0,97.0,97.0,96.0,96.0,83.0,75.0,70.0,68.0,68.0,68.0,63.0,67.0,70.0,78.0
72221,79.0,85.0,88.0,92.0,92.0,88.0,87.0,85.0,89.0,89.0,84.0,87.0,77.0,80.0,79.0,70.0,66.0,64.0,65.0,64.0,63.0,65.0,70.0,76.0
72222,93.0,90.0,87.0,78.0,80.0,74.0,77.0,77.0,74.0,77.0,75.0,74.0,75.0,82.0,80.0,80.0,77.0,77.0,75.0,78.0,80.0,80.0,80.0,86.0
74756,97.0,97.0,96.0,97.0,93.0,90.0,97.0,96.0,93.0,93.0,97.0,93.0,93.0,93.0,93.0,90.0,84.0,76.0,70.0,70.0,68.0,68.0,70.0,78.0
74775,95.0,93.0,94.0,94.0,94.0,97.0,93.0,93.0,92.0,84.0,80.0,76.0,75.0,78.0,74.0,70.0,71.0,68.0,67.0,70.0,72.0,73.0,75.0,80.0
74776,100.0,100.0,96.0,97.0,93.0,93.0,97.0,100.0,100.0,100.0,93.0,97.0,97.0,100.0,96.0,83.0,78.0,69.0,67.0,65.0,65.0,65.0,75.0,80.0
74777,80.0,84.0,83.0,85.0,85.0,78.0,77.0,78.0,79.0,79.0,78.0,73.0,76.0,77.0,77.0,71.0,63.0,66.0,65.0,69.0,69.0,71.0,74.0,76.0
74781,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.0,80.0,68.0,71.0,70.0,68.0,69.0,70.0,77.0
74782,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.0,96.0,96.0,96.0,93.0,87.0,79.0,68.0,68.0,65.0,68.0,78.0
