id,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
1,95.0,96.0,96.33333333333333,95.33333333333333,96.33333333333333,95.0,95.66666666666667,97.0,96.33333333333333,97.33333333333333,97.0,94.0,96.66666666666667,92.66666666666667,87.66666666666667,77.0,74.66666666666667,80.66666666666667,83.0,87.0,89.0,90.0,87.33333333333333,85.33333333333333
2,70.33333333333333,62.333333333333336,68.66666666666667,71.33333333333333,83.66666666666667,85.0,86.33333333333333,74.66666666666667,71.66666666666667,77.33333333333333,84.0,86.66666666666667,89.0,79.0,76.66666666666667,70.33333333333333,69.33333333333333,70.33333333333333,73.66666666666667,72.33333333333333,76.66666666666667,72.33333333333333,75.33333333333333,76.0
3,84.0,82.0,82.0,82.0,82.0,84.0,88.0,88.0,82.0,84.0,84.0,84.0,84.0,79.0,79.0,79.0,77.0,74.0,77.0,77.0,77.0,79.0,77.0,79.0
4,90.0,94.0,97.0,94.0,90.0,94.0,94.0,94.0,94.0,94.0,96.0,96.0,90.0,82.0,85.0,72.0,74.0,74.0,72.0,70.0,70.0,74.0,79.0,82.0
5,94.0,94.0,100.0,100.0,100.0,94.0,91.0,97.0,94.0,94.0,91.0,90.0,88.0,79.0,77.0,85.0,79.0,65.0,74.0,88.0,74.0,70.0,77.0,87.0
6,82.0,79.0,90.0,87.0,90.0,90.0,90.0,90.0,90.0,90.0,87.0,90.0,88.0,84.0,79.0,72.0,72.0,67.0,77.0,72.0,72.0,70.0,71.0,74.0
7,100.0,96.0,100.0,100.0,100.0,97.0,100.0,100.0,100.0,100.0,97.0,100.0,100.0,97.0,84.0,74.0,65.0,65.0,82.0,65.0,59.0,65.0,74.0,74.0
8,84.0,88.0,90.0,94.0,90.0,90.0,87.0,90.0,90.0,90.0,91.0,94.0,87.0,85.0,79.0,74.0,71.0,68.0,71.0,84.0,84.0,79.0,76.0,76.0
9,89.33333333333333,84.33333333333333,88.33333333333333,89.8888888888889,89.22222222222223,88.55555555555556,91.33333333333333,92.33333333333333,92.1111111111111,93.1111111111111,91.66666666666667,93.44444444444444,91.77777777777777,86.77777777777777,77.66666666666667,69.33333333333333,66.33333333333333,65.33333333333333,64.66666666666667,65.0,64.66666666666667,70.33333333333333,72.66666666666667,74.33333333333333
10,84.0,82.0,85.0,88.0,85.0,87.0,84.0,87.0,87.0,84.0,84.0,87.0,85.0,79.0,71.0,65.0,63.0,61.0,59.0,53.0,59.0,59.0,65.0,63.0
11,84.0,97.0,91.33333333333333,94.33333333333333,92.0,94.33333333333333,23.0,95.33333333333333,95.33333333333333,93.33333333333333,94.66666666666667,93.66666666666667,23.0,100.0,98.0,99.0,67.33333333333333,100.0,100.0,98.0,77.0,68.0,68.0,73.0
12,91.0,90.0,91.0,90.0,91.0,90.0,91.0,91.0,91.0,91.0,90.0,90.0,90.0,90.0,90.0,84.0,82.0,72.0,66.0,67.0,81.0,66.0,70.0,73.0
13,84.0,85.0,94.0,91.0,94.0,94.0,94.0,96.0,97.0,94.0,94.0,94.0,94.0,94.0,87.0,87.0,76.0,64.0,51.0,48.0,51.0,55.0,60.0,64.0
14,94.0,94.0,94.0,96.0,90.0,87.0,87.0,94.0,93.0,93.0,96.0,93.0,97.0,97.0,100.0,94.0,85.0,76.0,72.0,77.0,82.0,82.0,79.0,82.0
15,60.0,57.0,61.0,69.0,69.0,82.0,90.0,80.0,75.0,76.0,86.0,85.0,87.0,78.0,76.0,69.0,68.0,67.0,70.0,74.0,75.0,67.0,74.0,75.0
16,60.0,69.0,87.0,87.0,93.0,93.0,79.0,74.0,79.0,87.0,90.0,93.0,91.0,74.0,72.0,65.0,63.0,61.0,61.0,45.0,65.0,57.0,65.0,65.0
17,87.0,87.0,90.0,91.0,91.0,91.0,91.0,91.0,90.0,90.0,90.0,90.0,87.0,85.0,84.0,76.0,69.0,66.0,74.0,63.0,63.0,57.0,51.0,58.0
18,85.0,92.0,94.0,94.0,97.0,90.0,88.0,78.0,88.0,86.0,88.0,90.0,72.0,79.0,76.0,77.0,73.0,72.0,79.0,75.0,78.0,79.0,79.0,82.0
19,79.0,85.0,97.0,97.0,97.0,93.0,93.0,93.0,94.0,97.0,94.0,96.0,94.0,90.0,77.0,69.0,65.0,69.0,65.0,58.0,57.0,63.0,64.0,69.0
20,80.0,66.0,71.0,69.0,92.0,89.0,84.0,73.0,69.0,77.0,84.0,87.0,95.0,80.0,77.0,72.0,72.0,72.0,74.0,73.0,78.0,73.0,75.0,76.0
21,83.0,91.0,96.0,85.0,94.0,97.0,99.0,100.0,100.0,100.0,98.0,94.0,94.0,94.0,84.0,77.0,67.0,73.0,88.0,79.0,68.0,54.0,55.0,60.0
22,97.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.0,88.0,77.0,74.0,72.0,94.0,96.0,100.0,96.0,88.0,88.0
23,94.0,90.0,90.0,97.0,90.0,91.0,94.0,97.0,96.0,97.0,94.0,94.0,96.0,82.0,82.0,82.0,72.0,77.0,74.0,77.0,74.0,79.0,82.0,85.0
24,82.0,82.0,79.0,82.0,82.0,84.0,84.0,84.0,81.0,87.0,87.0,87.0,84.0,79.0,74.0,74.0,70.0,76.0,82.0,90.0,97.0,94.0,90.0,91.0
25,86.0,83.0,88.0,87.0,87.0,85.0,89.0,89.0,90.0,90.0,89.0,90.0,89.0,83.0,73.0,65.0,64.0,67.0,67.0,69.0,65.0,67.0,76.0,77.0
26,94.0,91.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,90.0,85.0,79.0,72.0,65.0,59.0,55.0,55.0,53.0,51.0,71.0,74.0
27,83.0,88.0,89.0,94.0,93.0,93.0,92.0,91.0,91.0,93.0,92.0,92.0,93.0,90.0,78.0,78.0,75.0,69.0,71.0,74.0,75.0,74.0,77.0,80.0
28,90.0,97.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,96.0,87.0,84.0,79.0,78.0,74.0,77.0,80.0,82.0,84.0,84.0
29,93.1111111111111,93.0,93.33333333333333,92.66666666666667,92.66666666666667,92.66666666666667,95.77777777777777,95.77777777777777,95.55555555555556,94.44444444444444,94.8888888888889,94.77777777777777,97.33333333333333,94.33333333333333,84.66666666666667,73.33333333333333,66.0,65.0,60.0,54.333333333333336,50.0,52.666666666666664,73.0,79.0
30,77.66666666666667,80.33333333333333,83.33333333333333,76.0,81.33333333333333,82.0,89.66666666666667,89.66666666666667,92.33333333333333,93.0,93.33333333333333,94.33333333333333,93.0,80.0,73.66666666666667,63.333333333333336,56.333333333333336,45.0,47.0,74.0,72.66666666666667,58.666666666666664,58.666666666666664,59.0
